month,term,category,interest,extracted_at
2004-01-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-02-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-03-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-04-01,foreclosure help,core_distress,14,2026-09-09 11:11:56.080316+00:00
2004-05-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-06-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-07-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-08-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-09-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-10-01,foreclosure help,core_distress,17,2026-09-09 11:11:56.080316+00:00
2004-11-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2004-12-01,foreclosure help,core_distress,13,2026-09-09 11:11:56.080316+00:00
2005-01-01,foreclosure help,core_distress,16,2026-09-09 11:11:56.080316+00:00
2005-02-01,foreclosure help,core_distress,13,2026-09-09 11:11:56.080316+00:00
2005-03-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2005-04-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2005-05-01,foreclosure help,core_distress,9,2026-09-09 11:11:56.080316+00:00
2005-06-01,foreclosure help,core_distress,17,2026-09-09 11:11:56.080316+00:00
2005-07-01,foreclosure help,core_distress,9,2026-09-09 11:11:56.080316+00:00
2005-08-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2005-09-01,foreclosure help,core_distress,9,2026-09-09 11:11:56.080316+00:00
2005-10-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2005-11-01,foreclosure help,core_distress,8,2026-09-09 11:11:56.080316+00:00
2005-12-01,foreclosure help,core_distress,0,2026-09-09 11:11:56.080316+00:00
2006-01-01,foreclosure help,core_distress,12,2026-09-09 11:11:56.080316+00:00
2006-02-01,foreclosure help,core_distress,12,2026-09-09 11:11:56.080316+00:00
2006-03-01,foreclosure help,core_distress,13,2026-09-09 11:11:56.080316+00:00
2006-04-01,foreclosure help,core_distress,14,2026-09-09 11:11:56.080316+00:00
2006-05-01,foreclosure help,core_distress,11,2026-09-09 11:11:56.080316+00:00
2006-06-01,foreclosure help,core_distress,15,2026-09-09 11:11:56.080316+00:00
2006-07-01,foreclosure help,core_distress,14,2026-09-09 11:11:56.080316+00:00
2006-08-01,foreclosure help,core_distress,14,2026-09-09 11:11:56.080316+00:00
2006-09-01,foreclosure help,core_distress,16,2026-09-09 11:11:56.080316+00:00
2006-10-01,foreclosure help,core_distress,18,2026-09-09 11:11:56.080316+00:00
2006-11-01,foreclosure help,core_distress,16,2026-09-09 11:11:56.080316+00:00
2006-12-01,foreclosure help,core_distress,18,2026-09-09 11:11:56.080316+00:00
2007-01-01,foreclosure help,core_distress,19,2026-09-09 11:11:56.080316+00:00
2007-02-01,foreclosure help,core_distress,20,2026-09-09 11:11:56.080316+00:00
2007-03-01,foreclosure help,core_distress,21,2026-09-09 11:11:56.080316+00:00
2007-04-01,foreclosure help,core_distress,27,2026-09-09 11:11:56.080316+00:00
2007-05-01,foreclosure help,core_distress,23,2026-09-09 11:11:56.080316+00:00
2007-06-01,foreclosure help,core_distress,24,2026-09-09 11:11:56.080316+00:00
2007-07-01,foreclosure help,core_distress,25,2026-09-09 11:11:56.080316+00:00
2007-08-01,foreclosure help,core_distress,36,2026-09-09 11:11:56.080316+00:00
2007-09-01,foreclosure help,core_distress,40,2026-09-09 11:11:56.080316+00:00
2007-10-01,foreclosure help,core_distress,42,2026-09-09 11:11:56.080316+00:00
2007-11-01,foreclosure help,core_distress,36,2026-09-09 11:11:56.080316+00:00
2007-12-01,foreclosure help,core_distress,39,2026-09-09 11:11:56.080316+00:00
2008-01-01,foreclosure help,core_distress,49,2026-09-09 11:11:56.080316+00:00
2008-02-01,foreclosure help,core_distress,49,2026-09-09 11:11:56.080316+00:00
2008-03-01,foreclosure help,core_distress,58,2026-09-09 11:11:56.080316+00:00
2008-04-01,foreclosure help,core_distress,59,2026-09-09 11:11:56.080316+00:00
2008-05-01,foreclosure help,core_distress,49,2026-09-09 11:11:56.080316+00:00
2008-06-01,foreclosure help,core_distress,58,2026-09-09 11:11:56.080316+00:00
2008-07-01,foreclosure help,core_distress,74,2026-09-09 11:11:56.080316+00:00
2008-08-01,foreclosure help,core_distress,62,2026-09-09 11:11:56.080316+00:00
2008-09-01,foreclosure help,core_distress,73,2026-09-09 11:11:56.080316+00:00
2008-10-01,foreclosure help,core_distress,90,2026-09-09 11:11:56.080316+00:00
2008-11-01,foreclosure help,core_distress,77,2026-09-09 11:11:56.080316+00:00
2008-12-01,foreclosure help,core_distress,79,2026-09-09 11:11:56.080316+00:00
2009-01-01,foreclosure help,core_distress,84,2026-09-09 11:11:56.080316+00:00
2009-02-01,foreclosure help,core_distress,100,2026-09-09 11:11:56.080316+00:00
2009-03-01,foreclosure help,core_distress,84,2026-09-09 11:11:56.080316+00:00
2009-04-01,foreclosure help,core_distress,59,2026-09-09 11:11:56.080316+00:00
2009-05-01,foreclosure help,core_distress,58,2026-09-09 11:11:56.080316+00:00
2009-06-01,foreclosure help,core_distress,53,2026-09-09 11:11:56.080316+00:00
2009-07-01,foreclosure help,core_distress,58,2026-09-09 11:11:56.080316+00:00
2009-08-01,foreclosure help,core_distress,47,2026-09-09 11:11:56.080316+00:00
2009-09-01,foreclosure help,core_distress,40,2026-09-09 11:11:56.080316+00:00
2009-10-01,foreclosure help,core_distress,37,2026-09-09 11:11:56.080316+00:00
2009-11-01,foreclosure help,core_distress,42,2026-09-09 11:11:56.080316+00:00
2009-12-01,foreclosure help,core_distress,41,2026-09-09 11:11:56.080316+00:00
2010-01-01,foreclosure help,core_distress,41,2026-09-09 11:11:56.080316+00:00
2010-02-01,foreclosure help,core_distress,40,2026-09-09 11:11:56.080316+00:00
2010-03-01,foreclosure help,core_distress,42,2026-09-09 11:11:56.080316+00:00
2010-04-01,foreclosure help,core_distress,40,2026-09-09 11:11:56.080316+00:00
2010-05-01,foreclosure help,core_distress,36,2026-09-09 11:11:56.080316+00:00
2010-06-01,foreclosure help,core_distress,34,2026-09-09 11:11:56.080316+00:00
2010-07-01,foreclosure help,core_distress,30,2026-09-09 11:11:56.080316+00:00
2010-08-01,foreclosure help,core_distress,38,2026-09-09 11:11:56.080316+00:00
2010-09-01,foreclosure help,core_distress,29,2026-09-09 11:11:56.080316+00:00
2010-10-01,foreclosure help,core_distress,31,2026-09-09 11:11:56.080316+00:00
2010-11-01,foreclosure help,core_distress,25,2026-09-09 11:11:56.080316+00:00
2010-12-01,foreclosure help,core_distress,25,2026-09-09 11:11:56.080316+00:00
2011-01-01,foreclosure help,core_distress,32,2026-09-09 11:11:56.080316+00:00
2011-02-01,foreclosure help,core_distress,28,2026-09-09 11:11:56.080316+00:00
2011-03-01,foreclosure help,core_distress,27,2026-09-09 11:11:56.080316+00:00
2011-04-01,foreclosure help,core_distress,24,2026-09-09 11:11:56.080316+00:00
2011-05-01,foreclosure help,core_distress,27,2026-09-09 11:11:56.080316+00:00
2011-06-01,foreclosure help,core_distress,24,2026-09-09 11:11:56.080316+00:00
2011-07-01,foreclosure help,core_distress,28,2026-09-09 11:11:56.080316+00:00
2011-08-01,foreclosure help,core_distress,26,2026-09-09 11:11:56.080316+00:00
2011-09-01,foreclosure help,core_distress,24,2026-09-09 11:11:56.080316+00:00
2011-10-01,foreclosure help,core_distress,24,2026-09-09 11:11:56.080316+00:00
2011-11-01,foreclosure help,core_distress,24,2026-09-09 11:11:56.080316+00:00
2011-12-01,foreclosure help,core_distress,23,2026-09-09 11:11:56.080316+00:00
2012-01-01,foreclosure help,core_distress,27,2026-09-09 11:11:56.080316+00:00
2012-02-01,foreclosure help,core_distress,28,2026-09-09 11:11:56.080316+00:00
2012-03-01,foreclosure help,core_distress,21,2026-09-09 11:11:56.080316+00:00
2012-04-01,foreclosure help,core_distress,23,2026-09-09 11:11:56.080316+00:00
2012-05-01,foreclosure help,core_distress,22,2026-09-09 11:11:56.080316+00:00
2012-06-01,foreclosure help,core_distress,23,2026-09-09 11:11:56.080316+00:00
2012-07-01,foreclosure help,core_distress,23,2026-09-09 11:11:56.080316+00:00
2012-08-01,foreclosure help,core_distress,20,2026-09-09 11:11:56.080316+00:00
2012-09-01,foreclosure help,core_distress,24,2026-09-09 11:11:56.080316+00:00
2012-10-01,foreclosure help,core_distress,19,2026-09-09 11:11:56.080316+00:00
2012-11-01,foreclosure help,core_distress,19,2026-09-09 11:11:56.080316+00:00
2012-12-01,foreclosure help,core_distress,19,2026-09-09 11:11:56.080316+00:00
2013-01-01,foreclosure help,core_distress,20,2026-09-09 11:11:56.080316+00:00
2013-02-01,foreclosure help,core_distress,18,2026-09-09 11:11:56.080316+00:00
2013-03-01,foreclosure help,core_distress,17,2026-09-09 11:11:56.080316+00:00
